trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-182.10997501825378,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,6,-123.0359845149428,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-157.1364711149958,"{0: 23, 1: 2, 2: 6, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-68.5816588223697,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-47.19194047303874,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-74.71754610655435,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-5.765497216141765,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-72.0999120617807,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-164.79607303922882,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-92.9277203443844,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-32.17498596725784,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,6,-22.261166466430602,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,20,-67.76853408683533,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,15,-2.261948613556207,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-83.20520064476116,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,4,-86.49969909052298,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,7,11.731335650781233,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,26.481927572581395,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-26.38848520509207,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,1.8129107125811526,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,20,19.246150186820582,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-100.45012225000097,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,8,-10.087917757185304,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",30,8,22.577315968140365,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,2,2.987474812072426,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-123.62664540018042,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,11,-5.986564123862566,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
