trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",25,0,-87.97698612484115,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.998}",20,0,-81.70281767387753,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.997}",20,0,-102.38155803366864,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.996}",30,0,-75.04220872508425,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.995}",25,0,-146.12536360722132,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.994}",25,0,-82.97149579706469,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.993}",20,0,-100.03031235825779,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.992}",20,0,-74.55915560247804,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.991}",25,0,-207.69110530741762,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.99}",20,0,-179.5322989977707,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.989}",25,0,-146.25853589534054,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.988}",20,0,-122.1505519711096,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.987}",20,0,-202.1767440610406,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.986}",20,9,-60.15019331443958,"{0: 5, 1: 2, 2: 2, 3: 2, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.985}",20,0,-98.31926300958551,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.984}",25,0,-82.8575417689828,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.983}",20,0,-115.09457594295289,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.982}",20,0,-68.99968714408085,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.981}",20,0,-34.60378993237689,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.98}",25,0,-204.39704992539026,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.979}",35,0,-240.94476655466406,"{0: 13, 1: 7, 2: 12, 3: 1, 4: 2}",0
