trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.06, 'e': 0.9940179640539353}",25,0,-147.50296303564298,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.06, 'e': 0.9880717128619305}",20,0,-147.46201540685044,"{0: 11, 1: 3, 2: 1, 3: 3, 4: 2}",0
3,False,"{'a': 0.06, 'e': 0.9821610323583008}",35,0,-212.3722479845245,"{0: 20, 1: 7, 2: 4, 3: 0, 4: 4}",0
4,False,"{'a': 0.06, 'e': 0.9762857097579093}",20,3,-116.87925551790649,"{0: 8, 1: 0, 2: 5, 3: 4, 4: 0}",1
5,False,"{'a': 0.06, 'e': 0.9704455335485082}",25,0,-109.59601538048452,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.06, 'e': 0.9646402934831231}",20,0,-103.36248345243497,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.06, 'e': 0.9588697805724845}",20,0,-78.36264869202222,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.06, 'e': 0.9531337870775047}",20,0,-54.95709845993481,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.06, 'e': 0.9474321065017983}",25,0,-75.07157101515988,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",1
10,False,"{'a': 0.06, 'e': 0.9417645335842487}",20,7,-51.83951852962767,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.06, 'e': 0.9361308642916188}",25,0,-72.27076571627633,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.06, 'e': 0.9305308958112057}",20,0,-72.20231590611125,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
13,False,"{'a': 0.06, 'e': 0.9249644265435393}",20,0,-122.30112156597923,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.06, 'e': 0.9194312560951247}",20,0,-102.87059439939571,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.06, 'e': 0.9139311852712282}",25,14,-13.806960386885667,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.06, 'e': 0.9084640160687061}",25,0,-80.3442868681744,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.06, 'e': 0.9030295516688768}",25,0,-142.95872932365262,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.06, 'e': 0.8976275964304349}",30,0,-101.66088151096214,"{0: 18, 1: 7, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.06, 'e': 0.8922579558824083}",30,0,-191.6716162580098,"{0: 17, 1: 2, 2: 6, 3: 3, 4: 2}",0
20,False,"{'a': 0.06, 'e': 0.8869204367171575}",20,0,-62.47195823156745,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
21,False,"{'a': 0.06, 'e': 0.8816148467834161}",20,0,-136.56379113272956,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
22,False,"{'a': 0.06, 'e': 0.8763409950793732}",25,0,-51.79426166997913,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
23,False,"{'a': 0.06, 'e': 0.8710986917457983}",20,0,-167.6683389960084,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
24,False,"{'a': 0.06, 'e': 0.865887748059205}",25,0,-175.89688869140244,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
25,False,"{'a': 0.06, 'e': 0.8607079764250578}",20,0,-19.390267587208083,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
26,False,"{'a': 0.06, 'e': 0.8555591903710185}",30,0,-103.56107394272624,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
27,False,"{'a': 0.06, 'e': 0.850441204540233}",20,0,-155.0888179490236,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
28,False,"{'a': 0.06, 'e': 0.8453538346846586}",20,0,-89.90308160204742,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
29,False,"{'a': 0.06, 'e': 0.8402968976584314}",25,0,-114.56030628190157,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
30,False,"{'a': 0.06, 'e': 0.835270211411272}",20,0,-71.30445327043492,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
31,False,"{'a': 0.06, 'e': 0.8302735949819326}",35,0,-46.84787993911556,"{0: 30, 1: 2, 2: 1, 3: 1, 4: 1}",0
32,False,"{'a': 0.06, 'e': 0.8253068684916823}",20,0,-61.237430564988195,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
33,False,"{'a': 0.06, 'e': 0.820369853137831}",25,0,-34.260198455857875,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
34,False,"{'a': 0.06, 'e': 0.8154623711872926}",25,0,-77.1966874949302,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
35,False,"{'a': 0.06, 'e': 0.810584245970187}",25,0,-213.758488503029,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
36,False,"{'a': 0.06, 'e': 0.8057353018734795}",20,0,-151.01759067268353,"{0: 8, 1: 4, 2: 4, 3: 3, 4: 1}",0
37,False,"{'a': 0.06, 'e': 0.800915364334659}",25,0,-71.71719591489759,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
38,False,"{'a': 0.06, 'e': 0.7961242598354537}",20,7,-51.84874097453929,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
39,False,"{'a': 0.06, 'e': 0.7913618158955837}",20,0,-55.340098943682285,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
40,False,"{'a': 0.06, 'e': 0.7866278610665534}",20,0,-106.98872090740888,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
41,False,"{'a': 0.06, 'e': 0.7819222249254772}",30,0,-35.594091855284404,"{0: 24, 1: 0, 2: 6, 3: 0, 4: 0}",0
42,False,"{'a': 0.06, 'e': 0.7772447380689461}",30,13,-51.95211545245235,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 0}",1
43,False,"{'a': 0.06, 'e': 0.772595232106928}",25,0,-157.33090568611794,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
44,False,"{'a': 0.06, 'e': 0.7679735396567061}",20,0,-69.37092485595869,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
45,False,"{'a': 0.06, 'e': 0.7633794943368531}",25,0,-95.39538461706755,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
46,False,"{'a': 0.06, 'e': 0.7588129307612415}",30,0,2.7445602914751968,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
47,False,"{'a': 0.06, 'e': 0.754273684533089}",20,0,-151.05021344762338,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
48,False,"{'a': 0.06, 'e': 0.7497615922390414}",25,13,-0.3349831658054452,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.06, 'e': 0.7452764914432887}",20,0,-142.10263862951552,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
50,False,"{'a': 0.06, 'e': 0.740818220681718}",25,0,-68.69955297125358,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
51,False,"{'a': 0.06, 'e': 0.7363866194561002}",20,0,-61.09657752653667,"{0: 14, 1: 3, 2: 0, 3: 3, 4: 0}",0
52,False,"{'a': 0.06, 'e': 0.7319815282283127}",30,0,-116.51306179591354,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
53,False,"{'a': 0.06, 'e': 0.7276027884145956}",20,0,-92.84084250298285,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
54,False,"{'a': 0.06, 'e': 0.7232502423798426}",30,10,-150.86889795562365,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",1
55,False,"{'a': 0.06, 'e': 0.7189237334319263}",30,15,-28.201910522089126,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
56,False,"{'a': 0.06, 'e': 0.7146231058160575}",20,0,-50.657826468708116,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
57,False,"{'a': 0.06, 'e': 0.7103482047091775}",20,0,-151.545888338341,"{0: 9, 1: 5, 2: 2, 3: 2, 4: 2}",0
58,False,"{'a': 0.06, 'e': 0.7060988762143846}",30,13,-112.67140644678057,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 2}",1
59,False,"{'a': 0.06, 'e': 0.7018749673553942}",20,0,-85.43106275260902,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
60,False,"{'a': 0.06, 'e': 0.6976763260710312}",20,9,-10.7849315335489,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
61,False,"{'a': 0.06, 'e': 0.693502801209756}",25,6,-35.38379763900899,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 0}",1
62,False,"{'a': 0.06, 'e': 0.6893542425242227}",20,10,-97.12774158414292,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 2}",1
63,False,"{'a': 0.06, 'e': 0.6852305006658705}",20,0,-73.0440752535686,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
64,False,"{'a': 0.06, 'e': 0.6811314271795474}",20,0,-40.094753472786024,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
65,False,"{'a': 0.06, 'e': 0.677056874498165}",20,11,-12.454315621531167,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
66,False,"{'a': 0.06, 'e': 0.6730066959373867}",35,0,-183.52421911535075,"{0: 23, 1: 3, 2: 5, 3: 1, 4: 3}",0
67,False,"{'a': 0.06, 'e': 0.668980745690347}",25,0,-111.95361006899417,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
68,False,"{'a': 0.06, 'e': 0.6649788788224023}",25,18,1.9550256803544033,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.06, 'e': 0.6610009512659129}",30,0,-73.62758578899859,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
70,False,"{'a': 0.06, 'e': 0.6570468198150572}",30,19,-51.69514798290661,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
71,False,"{'a': 0.06, 'e': 0.6531163421206759}",25,17,-1.5577668134148768,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.06, 'e': 0.6492093766851478}",25,7,-23.602933268320818,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
73,False,"{'a': 0.06, 'e': 0.6453257828572949}",20,0,-52.5175852702972,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
74,False,"{'a': 0.06, 'e': 0.6414654208273203}",25,0,-102.06637308300947,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
75,False,"{'a': 0.06, 'e': 0.6376281516217737}",25,13,-7.032629352553874,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.06, 'e': 0.6338138370985494}",20,8,9.042761206710818,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.06, 'e': 0.6300223399419127}",20,16,8.349098640147332,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.06, 'e': 0.6262535236575564}",20,0,-48.12476743196118,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
79,False,"{'a': 0.06, 'e': 0.6225072525676872}",20,0,-79.96405785810481,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
80,False,"{'a': 0.06, 'e': 0.6187833918061413}",30,0,-18.965697469862466,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 1}",0
81,False,"{'a': 0.06, 'e': 0.6150818073135291}",20,0,-16.48842311251897,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
82,False,"{'a': 0.06, 'e': 0.6114023658324091}",25,0,-46.27421043174589,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
83,False,"{'a': 0.06, 'e': 0.6077449349024907}",30,4,-95.91154438365952,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 3}",1
84,False,"{'a': 0.06, 'e': 0.6041093828558652}",25,8,-77.90830554550078,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 1}",1
85,False,"{'a': 0.06, 'e': 0.6004955788122665}",20,0,-81.3372131884085,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
86,False,"{'a': 0.06, 'e': 0.5969033926743585}",20,0,-31.72284872901529,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
87,False,"{'a': 0.06, 'e': 0.5933326951230525}",25,17,14.972025006941518,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.06, 'e': 0.5897833576128511}",20,0,-41.44627292259327,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
89,False,"{'a': 0.06, 'e': 0.5862552523672202}",20,13,-10.229908389770497,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.06, 'e': 0.5827482523739902}",20,8,-93.98892475280928,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 2}",1
91,False,"{'a': 0.06, 'e': 0.5792622313807826}",25,0,-79.89894399595349,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
92,False,"{'a': 0.06, 'e': 0.5757970638904651}",20,1,-2.85786824642296,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.06, 'e': 0.5723526251566339}",25,0,4.721000291471219,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
94,False,"{'a': 0.06, 'e': 0.5689287911791223}",20,14,13.90319645833486,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.06, 'e': 0.5655254386995376}",25,2,-103.13835597658766,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 2}",1
96,False,"{'a': 0.06, 'e': 0.5621424451968231}",30,11,-32.55954153563418,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 0}",1
97,False,"{'a': 0.06, 'e': 0.558779688882847}",25,14,-25.53061978503462,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
98,False,"{'a': 0.06, 'e': 0.5554370486980189}",25,7,0.6737829706873897,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.06, 'e': 0.5521144043069313}",20,4,-33.46208982377298,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 0}",1
100,False,"{'a': 0.06, 'e': 0.5488116360940272}",20,0,-120.27601418975655,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
101,False,"{'a': 0.06, 'e': 0.545528625159294}",25,0,-10.327515560141734,"{0: 21, 1: 3, 2: 0, 3: 1, 4: 0}",0
102,False,"{'a': 0.06, 'e': 0.5422652533139839}",20,0,-20.177137097977578,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
103,False,"{'a': 0.06, 'e': 0.5390214030763577}",25,1,-49.539226505584686,"{0: 20, 1: 0, 2: 1, 3: 3, 4: 0}",1
104,False,"{'a': 0.06, 'e': 0.5357969576674567}",20,14,4.750847605450695,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.06, 'e': 0.5325918010068978}",20,0,5.689566335987708,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
106,False,"{'a': 0.06, 'e': 0.5294058177086953}",20,4,9.698769158492711,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.06, 'e': 0.526238893077106}",20,0,-103.69064361631024,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
108,False,"{'a': 0.06, 'e': 0.5230909131025014}",20,14,-45.225321910745336,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
109,False,"{'a': 0.06, 'e': 0.5199617644572626}",20,6,4.221256745378199,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.06, 'e': 0.5168513344917}",20,0,-111.69406025345165,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
111,False,"{'a': 0.06, 'e': 0.5137595112299991}",25,0,-85.17516376751318,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
112,False,"{'a': 0.06, 'e': 0.5106861833661885}",35,0,-103.97380035126021,"{0: 25, 1: 1, 2: 7, 3: 1, 4: 1}",0
113,False,"{'a': 0.06, 'e': 0.5076312402601335}",25,14,-62.61220212681925,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 1}",1
114,False,"{'a': 0.06, 'e': 0.504594571933552}",25,11,-7.340703759972059,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
115,False,"{'a': 0.06, 'e': 0.5015760690660562}",25,1,-9.442465462912956,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 0}",1
116,False,"{'a': 0.06, 'e': 0.49857562299121727}",20,0,-149.05918121185329,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 4}",0
117,False,"{'a': 0.06, 'e': 0.49559312569265224}",20,0,-12.725231005117829,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
