trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.06, 'e': 0.9940179640539353}",20,0,-44.79325225441729,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.06, 'e': 0.9880717128619305}",25,0,-119.1647283380504,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.06, 'e': 0.9821610323583008}",30,0,-217.55258569600008,"{0: 16, 1: 2, 2: 7, 3: 2, 4: 3}",0
4,False,"{'a': 0.06, 'e': 0.9762857097579093}",25,5,-180.29184651723006,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",1
5,False,"{'a': 0.06, 'e': 0.9704455335485082}",25,0,-73.15258349454373,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
6,False,"{'a': 0.06, 'e': 0.9646402934831231}",25,15,-59.76400837496128,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 1}",1
7,False,"{'a': 0.06, 'e': 0.9588697805724845}",30,0,-186.0010081474246,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.06, 'e': 0.9531337870775047}",25,0,-127.98179917308936,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.06, 'e': 0.9474321065017983}",25,0,-180.66531449042873,"{0: 10, 1: 7, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.06, 'e': 0.9417645335842487}",25,0,-96.98943503777089,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.06, 'e': 0.9361308642916188}",30,0,-100.32684043007528,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.06, 'e': 0.9305308958112057}",20,0,-71.60340335217862,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.06, 'e': 0.9249644265435393}",25,0,-51.8650252816702,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.06, 'e': 0.9194312560951247}",25,0,-192.4477360517971,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
15,False,"{'a': 0.06, 'e': 0.9139311852712282}",20,0,-75.02596395021405,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
16,False,"{'a': 0.06, 'e': 0.9084640160687061}",20,0,-84.74816589122025,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",1
17,False,"{'a': 0.06, 'e': 0.9030295516688768}",20,0,-28.481934542382486,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.06, 'e': 0.8976275964304349}",25,0,-68.71905596694077,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.06, 'e': 0.8922579558824083}",25,0,-207.52994330874205,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
20,False,"{'a': 0.06, 'e': 0.8869204367171575}",25,0,-6.892732064736104,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
21,False,"{'a': 0.06, 'e': 0.8816148467834161}",25,0,-69.82994611510367,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
22,False,"{'a': 0.06, 'e': 0.8763409950793732}",20,0,-41.783230521740066,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
23,False,"{'a': 0.06, 'e': 0.8710986917457983}",20,0,-162.39651680969325,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
24,False,"{'a': 0.06, 'e': 0.865887748059205}",20,0,-58.336568017619776,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.06, 'e': 0.8607079764250578}",20,0,-52.782700105780805,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
26,False,"{'a': 0.06, 'e': 0.8555591903710185}",25,0,-100.76858498065099,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
27,False,"{'a': 0.06, 'e': 0.850441204540233}",25,10,-51.66803452931537,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 1}",1
28,False,"{'a': 0.06, 'e': 0.8453538346846586}",25,0,-94.77259300559571,"{0: 17, 1: 1, 2: 3, 3: 4, 4: 0}",0
29,False,"{'a': 0.06, 'e': 0.8402968976584314}",20,0,-42.98587547148375,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
30,False,"{'a': 0.06, 'e': 0.835270211411272}",20,0,-72.05635838642768,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
31,False,"{'a': 0.06, 'e': 0.8302735949819326}",30,11,-118.40396345828088,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 3}",1
32,False,"{'a': 0.06, 'e': 0.8253068684916823}",25,8,-4.697082723760186,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
33,False,"{'a': 0.06, 'e': 0.820369853137831}",25,0,-148.50497478723466,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
34,False,"{'a': 0.06, 'e': 0.8154623711872926}",30,7,-68.05536477102451,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 1}",1
35,False,"{'a': 0.06, 'e': 0.810584245970187}",30,0,-184.31252815359258,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
36,False,"{'a': 0.06, 'e': 0.8057353018734795}",30,0,-70.82804917170468,"{0: 18, 1: 7, 2: 5, 3: 0, 4: 0}",0
37,False,"{'a': 0.06, 'e': 0.800915364334659}",25,0,-61.00001700084313,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
38,False,"{'a': 0.06, 'e': 0.7961242598354537}",20,0,-50.73542930539791,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
39,False,"{'a': 0.06, 'e': 0.7913618158955837}",20,8,-20.405399631271038,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
40,False,"{'a': 0.06, 'e': 0.7866278610665534}",20,0,-167.8988260956539,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
41,False,"{'a': 0.06, 'e': 0.7819222249254772}",30,0,-125.32472766229279,"{0: 18, 1: 7, 2: 3, 3: 0, 4: 2}",0
42,False,"{'a': 0.06, 'e': 0.7772447380689461}",20,0,-37.69193089297261,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
43,False,"{'a': 0.06, 'e': 0.772595232106928}",25,0,-110.14953798301039,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
44,False,"{'a': 0.06, 'e': 0.7679735396567061}",20,0,-112.79295620756068,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
45,False,"{'a': 0.06, 'e': 0.7633794943368531}",20,0,-58.37544222045125,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
46,False,"{'a': 0.06, 'e': 0.7588129307612415}",20,2,-10.022439762413395,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
47,False,"{'a': 0.06, 'e': 0.754273684533089}",35,0,-49.93539042066715,"{0: 26, 1: 2, 2: 7, 3: 0, 4: 0}",0
48,False,"{'a': 0.06, 'e': 0.7497615922390414}",20,0,-104.38371843499132,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
49,False,"{'a': 0.06, 'e': 0.7452764914432887}",25,0,-123.3907864288995,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
50,False,"{'a': 0.06, 'e': 0.740818220681718}",25,0,-76.20096262802657,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
51,False,"{'a': 0.06, 'e': 0.7363866194561002}",30,0,-88.85982046220187,"{0: 18, 1: 8, 2: 3, 3: 0, 4: 1}",0
52,False,"{'a': 0.06, 'e': 0.7319815282283127}",30,0,-156.4221370439888,"{0: 16, 1: 2, 2: 9, 3: 2, 4: 1}",0
