trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.44656766996752,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-168.99178441930678,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.07567088533813,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.67269902249703,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-159.38371882182207,"{0: 24, 1: 5, 2: 2, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.06039961905921,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.93082779059951,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.3135091329508,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-177.47320365917315,"{0: 18, 1: 5, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.577849403967,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.10574516150106,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.82214981454228,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.35236162352982,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.63818952813861,"{0: 12, 1: 5, 2: 8, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.40000413554591,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-153.4033320017818,"{0: 19, 1: 4, 2: 10, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,3,-123.75345341156913,"{0: 13, 1: 8, 2: 4, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.37995774260362,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.22993516296097,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-53.34397798231586,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-96.62909758811166,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.39337036470859,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-28.895493745757165,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-174.25102114779057,"{0: 16, 1: 4, 2: 1, 3: 0, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-117.9334284677779,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-159.28836834715804,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-161.19047348449442,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-170.71666015746632,"{0: 14, 1: 3, 2: 3, 3: 3, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-161.22614022275093,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-155.8692728501583,"{0: 15, 1: 5, 2: 7, 3: 2, 4: 1}",0
